# GESP C++ L2 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp2-kp01 | 变量与数据类型 | 基础语法
#   cpp2-kp02 | 分支与循环 | 基础语法
#   cpp2-kp03 | 基础输入输出 | 基础语法
#   cpp2-kp04 | 函数定义与调用 | 函数
#   cpp2-kp05 | 函数参数传递 | 函数
#   cpp2-kp06 | 函数返回值 | 函数
#   cpp2-kp07 | 一维数组 | 数组与字符串
#   cpp2-kp08 | 多维数组 | 数组与字符串
#   cpp2-kp09 | 字符数组与字符串 | 数组与字符串
#   cpp2-kp10 | string 字符串处理 | 数组与字符串
#   cpp2-kp11 | 顺序查找 | 数组与字符串
#   cpp2-kp12 | 枚举算法 | 枚举模拟
#   cpp2-kp13 | 模拟算法 | 枚举模拟
#   cpp2-kp14 | 冒泡排序 | 排序入门
#   cpp2-kp15 | 选择排序 | 排序入门
#   cpp2-kp16 | 插入排序 | 排序入门
#   cpp2-kp17 | 简单递推 | 递推
#   cpp2-kp18 | 数组综合应用 | 综合应用
#   cpp2-kp19 | 字符串综合应用 | 综合应用
#   cpp2-kp20 | 函数与算法综合 | 综合应用
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-gesp-cpp-202606-l2	0	1	单选题	学校组织到未来农场参观，小明听讲解员介绍，在智能温室中，湿度传感器可以连续检测土壤的湿度变化，并将检测到的湿度数据实时发送给中央控制器。中央控制器根据这些数据判断是否开启灌溉系统。请问，这里的湿度传感器所发挥的作用，类似于计算机系统中的哪一类组件？()	A：A.处理器	B：B.存储器	C：C.输入设备	D：D.输出设备	C
lele-gesp-cpp-202606-l2	1	2	单选题	小明去农场参观回来后就在自己的电脑上安装了一个3D农场仿真模拟系统，因为他今年买的二手电脑有点老旧，系统运行时经常弹出“系统内存不足”的警告，导致系统卡顿严重。他计划通过增加物理内存来解决问题。请问他应该购买以下哪种硬件组件？()	A：A.机械硬盘	B：B.内存条	C：C.图形显卡	D：D.移动硬盘	B
lele-gesp-cpp-202606-l2	2	3	单选题	有关如下C++代码的说法，正确的是()。 float a=3+ 3.5； cout << a;	A：A.代码执行将报错。如果将a=3+3.5改为a=float(3)+3.5将能正常执行。	B：B.代码执行将报错。如果将a=3+3.5改为a=3.0+3.5将能正常执行。	C：C.代码能正常执行，将输出6。	D：D.代码能正常执行，将输出6.5。	D
lele-gesp-cpp-202606-l2	3	4	单选题	下面选择项中，与C++表达式 not(x>5 or y <=10)等价的是()。	A：A.x<=5 or y>10	B：B.x>5 and y <=10	C：C.x<=5 and y>10	D：D.not x>5 and not y<=10	C
lele-gesp-cpp-202606-l2	4	5	单选题	小明在某开发环境中执行C++代码cout<<(2.5+2.25)<<' '<<(2.2+2.1)时输出4.75 4.300000000000001,其原因最可能是()。	A：A.C++的+运算符在处理浮点数时有时正确，有时错误	B：B.某些浮点数难以精确表示，导致微小误差	C：C.+运算符不能用于浮点数，只能用于整数	D：D.因为cout函数难以输出太长的数值	B
lele-gesp-cpp-202606-l2	5	6	单选题	执行如下C++程序后，当输入4时，输出的最后一行是()。 int n; cin >> n; for (int i= n; i> 0; i--){ for (int j= 0; j< i; j++) cout << j+ 1 << ' '; cout << endl; }	A：A.0	B：B.1	C：C.12	D：D.1234	B
lele-gesp-cpp-202606-l2	6	7	单选题	下面的C++代码执行后其输出是()。 int tnt = 0; for (int i= 1; i< 5; i += 3){ for (int j= 0; j < i; j++) tnt += 1; cout << tnt << "#"; } cout << tnt;	A：A.1#5#5	B：B.1#5#5#	C：C.1#5#12#12	D：D.0	A
lele-gesp-cpp-202606-l2	7	8	单选题	下面的C++代码执行之后的输出是()。 int i; for (i = -2; i < 2; i++) if(not i%3==0) cout << i << "#"; cout << i;	A：A.-2#-1#1#2	B：B.-2#-1#1#2#3	C：C.1#2#3	D：D.0#1#2#3	A
lele-gesp-cpp-202606-l2	8	9	单选题	下面的C++代码执行后其输出是()。 int cnt= 0, i,j; for (i=0;i<3;i++){ j= i; while (j){ cnt += 1; j-=1; } } cout << cnt;	A：A.303	B：B.204	C：C.205	D：D.305	A
lele-gesp-cpp-202606-l2	9	10	单选题	下面C++代码执行后其输出是()。 int count = 0, i,j; for (i=1;i<4;i++) for (j =0; j< i;j++){ if(j%3!=0) continue; count += 1; break; } cout << count;	A：A.404	B：B.300	C：C.320	D：D.403	D
