# GESP C++ L6 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp6-kp01 | 图的存储(邻接矩阵/邻接表) | 图论
#   cpp6-kp02 | 深度优先搜索DFS | 图论
#   cpp6-kp03 | 广度优先搜索BFS | 图论
#   cpp6-kp04 | 最短路径入门(Floyd/Dijkstra) | 图论
#   cpp6-kp05 | 并查集(入门) | 图论
#   cpp6-kp06 | 拓扑排序(入门) | 图论
#   cpp6-kp07 | 堆与优先队列(priority_queue) | 树与数据结构进阶
#   cpp6-kp08 | 哈夫曼树(Huffman) | 树与数据结构进阶
#   cpp6-kp09 | 二叉搜索树(BST) | 树与数据结构进阶
#   cpp6-kp10 | 动态规划基础(状态/转移/记忆化) | 动态规划
#   cpp6-kp11 | 线性动态规划 | 动态规划
#   cpp6-kp12 | 背包问题(0/1背包) | 动态规划
#   cpp6-kp13 | KMP字符串匹配入门 | 字符串算法
#   cpp6-kp14 | 字符串哈希 | 字符串算法
#   cpp6-kp15 | STL set/multiset | STL进阶
#   cpp6-kp16 | STL map/multimap | STL进阶
#   cpp6-kp17 | 贪心算法 | 贪心算法
#   cpp6-kp18 | 素数筛与最大公约数(欧几里得) | 数学与数论
#   cpp6-kp19 | 树与图的连通性综合 | 综合应用
#   cpp6-kp20 | 算法综合应用 | 综合应用
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-gesp-cpp-202606-l6	0	1	单选题	下列关于C++中继承和多态的描述中，错误的是()。	A：通过基类指针调用虚函数时，会根据对象实际类型决定调用版本。	B：基类析构函数常声明为虚函数，以便通过基类指针正确释放派生类对象。	C：派生类可以重写基类中的虚函数。	D：构造函数可以声明为 virtual ，以便在构造对象时实现动态绑定。	D
lele-gesp-cpp-202606-l6	1	2	单选题	下列代码中，d1->work();和d2->work();输出不同结果的主要原因是()。	A：Printer 和 Scanner 使用了相同的构造函数。	B：work()是虚函数，且d1和d2实际指向不同派生类对象，发生动态绑定。	C：d1和d2是不同的指针变量。	D：程序中使用了 delete 释放对象。	B
lele-gesp-cpp-202606-l6	2	3	单选题	下面代码在main()中有一行会导致编译错误，请找出来。	A：第①行	B：第②行	C：第③行	D：第④行	C
lele-gesp-cpp-202606-l6	3	4	单选题	某文本编辑器把用户输入的字符依次压入栈S。用户依次输入X,Y,Z,W后，连续执行两次撤销操作。每次撤销都会弹出栈顶一个字符。此时栈从栈底到栈顶的内容是()。	A：XY	B：XYZ	C：Y Z	D：X Z	A
lele-gesp-cpp-202606-l6	4	5	单选题	假设循环队列数组长度为N=7,队空判断条件为 front = rear。入队和出队操作如下：依次执行：enqueue(10); enqueue(20); enqueue(30); dequeue(); enqueue(40); dequeue(); enqueue(50); 最终(front,rear)的值是()。	A：(5,1)	B：(4,0)	C：(5,0)	D：(3,1)	A
lele-gesp-cpp-202606-l6	5	6	单选题	以下函数check()用于判断一棵二叉树是否为()。	A：满二叉树	B：完全二叉树	C：二叉搜索树	D：平衡二叉树	B
lele-gesp-cpp-202606-l6	6	7	单选题	以下代码实现了二叉树的哪种遍历方式？	A：前序遍历	B：中序遍历	C：后序遍历	D：层序遍历	A
lele-gesp-cpp-202606-l6	7	8	单选题	已知一棵二叉树的先序遍历序列为：ABDEHCFG,中序遍历序列为：DBHEAFCG,则该二叉树的后序遍历序列是()。	A：DHEBFGCA	B：DEHBFGCA	C：HDEBFCGA	D：DHEBGFCA	A
lele-gesp-cpp-202606-l6	8	9	单选题	有6个字符，它们出现的次数分别为：{3,4,7,8,12,15}，现在用哈夫曼编码为这些字符编码，最小加权路径长度WPL的值为()。	A：113	B：119	C：126	D：31	B
lele-gesp-cpp-202606-l6	9	10	单选题	对n个不同符号进行哈夫曼编码。若生成的哈夫曼树共有63个结点，则n的值是()。	A：31	B：32	C：63	D：64	B
lele-gesp-cpp-202606-l6	10	11	单选题	在格雷码中，相邻两个编码只能有一位不同。若当前编码为110，则它的下一个编码不可能是()。	A：010	B：111	C：100	D：001	D
lele-gesp-cpp-202606-l6	11	12	单选题	给定一棵二叉树，采用广度优先搜索BFS返回其右视图，其中右视图中的每个节点都是该层最右侧的节点。横线处应填写()。	A：if (i == 0) result.push_back(node->val);	B：if (i = sz - 1) result.push_back(node->val);	C：result.push_back(q.front()->val);	D：if(node->right)result.push_back(node->right->val);	B
lele-gesp-cpp-202606-l6	12	13	单选题	下面代码实现二叉搜索树的插入操作。假设树中不存在重复值，横线处应填写()。	A：root->left = insertNode(root->left,x);	B：root = insertNode(root->left, x);	C：root->right = insertNode(root->left,x);	D：insertNode(root->left,x);	A
lele-gesp-cpp-202606-l6	13	14	单选题	给定一个整数数组a,每个元素表示一个位置上的数值。要求从数组中选择若干个元素，使得任意两个被选择的元素在原数组中都不相邻，并且所选元素的总和最大。函数 choose(vector<int>& a)返回能够得到的最大总和，则横线处应填写()。	A：dp[i - 1]+ a[i]	B：max(dp[i - 1]， dp[i - 2]+ a[i])	C：max(dp[i- 2]， a[i])	D：dp[i - 1] + dp[i - 2]	B
lele-gesp-cpp-202606-l6	14	15	单选题	下面代码实现0/1背包的一维动态规划。第i个物品重量为wt[i],价值为 val[i],背包容量为 W。横线处应填写()。	A：dp[w] = max(dp[w],dp[w - wt[i]+ val[i]);	B：dp[w] = max(dp[w - 1]， dp[w - wt[i] + val[i]);	C：dp[w] = dp[w] + val[i];	D：dp[w - wt[i] = max(dp[w],val[i]);	A
lele-gesp-cpp-202606-l6	15	16	判断题	C+中构造函数可以声明为虚函数，从而实现运行时多态。	对	错			错
lele-gesp-cpp-202606-l6	16	17	判断题	通过指向Base的指针删除Derived 对象时，一定会先调用 Derived的析构函数，再调用 Base的析构函数。	对	错			错
lele-gesp-cpp-202606-l6	17	18	判断题	在C+STL中，stack 的 pop()函数会返回栈顶元素并将其删除。	对	错			错
lele-gesp-cpp-202606-l6	18	19	判断题	程序运行后会输出2。	对	错			对
lele-gesp-cpp-202606-l6	19	20	判断题	下列函数试图将整数×插入到一棵二叉搜索树中。假设二叉搜索树满足如下性质：对于任意结点，左子树中所有结点的值均小于该结点的值，右子树中所有结点的值均大于或等于该结点的值。判断该函数是否能够在插入后保持二叉搜索树性质。	对	错			错
lele-gesp-cpp-202606-l6	20	21	判断题	哈夫曼编码一定唯一，只要字符频率相同，得到的编码也一定完全相同。	对	错			错
lele-gesp-cpp-202606-l6	21	22	判断题	若用数组按层序存储完全二叉树，且根节点下标为0，则下标为i的节点左孩子下标为2*i+1,右孩子下标为2*i+2。	对	错			对
lele-gesp-cpp-202606-l6	22	23	判断题	以下代码可以正确地按层换行输出二叉树的节点值。	对	错			错
lele-gesp-cpp-202606-l6	23	24	判断题	使用栈非递归实现二叉树前序遍历时，若希望先访问左子树，通常应先将右孩子入栈，再将左孩子入栈。	对	错			对
lele-gesp-cpp-202606-l6	24	25	判断题	动态规划问题通常要求具有最优子结构，并且常常存在重叠子问题。	对	错			对
lele-gesp-cpp-202603-l6	0	1	单选题	下列关于C++中类的描述，正确的是()。	A：如果类没有用户声明的构造函数，那么编译器会隐式声明一个默认构造函数	B：类的析构函数可以被重载，一个类可以有多个析构函数	C：类中的所有成员都必须声明为public	D：类和结构体在C++中没有区别，包括默认访问权限也相同	D
lele-gesp-cpp-202603-l6	1	2	单选题	下列代码中，s1->draw();和 s2->draw();输出不同结果的主要原因是()。	A：draw()是普通成员函数	B：Shape 中的draw()被声明为虚函数	C：Circle 和 Rectangle 中使用了 public 继承	D：指针变量名不同	D
lele-gesp-cpp-202603-l6	2	3	单选题	下面的代码在main()中有一行会导致编译错误，请找出来。	A：第①行	B：第②行	C：第③行	D：第④行	B
lele-gesp-cpp-202603-l6	3	4	单选题	游乐园的过山车每次限坐4人，用循环队列管理排队（容量MAX=5,空一格判满）。下面代码执行后，循环队列是否已满？rear的值是多少？	A：已满， rear=1	B：未满， rear=1	C：已满， rear=2	D：未满， rear=4	B
lele-gesp-cpp-202603-l6	4	5	单选题	在以下计算机系统应用场景中，最适合使用循环队列的是()。	A：函数调用过程中，保存局部变量和返回地址	B：表达式求值中的运算符优先级处理	C：操作系统中的进程优先级调度（高优先级先执行）	D：生产者和消费者问题中的共享缓冲区	D
lele-gesp-cpp-202603-l6	5	6	单选题	在二叉搜索树(BST)中，若中序遍历的序列为{1,2,3,4,5}，且先序遍历的第一个序列元素为3，则下列说法正确的是()。	A：该树一定是一棵完全二叉树。	B：元素4和5不可能是兄弟节点。	C：元素1所在节点的深度可能大于3（根节点深度为1）。	D：元素2一定是元素1的父节点。	B
lele-gesp-cpp-202603-l6	6	7	单选题	某二叉树共有10个结点，记为A~J,已知它的先序遍历序列为：ABDHIECFJG,中序遍历序列为：HDIBEAFJCG,则该二叉树的后序遍历序列是()。	A：HIDEBJFGCA	B：HIDBEJFGCA	C：IHDEBJFGCA	D：HIDEBFJGCA	B
