# GESP C++ L4 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp4-kp01 | 文件操作(fstream 读写) | 基础语法与STL
#   cpp4-kp02 | string 字符串处理 | 基础语法与STL
#   cpp4-kp03 | vector 动态数组 | 基础语法与STL
#   cpp4-kp04 | 结构体 struct | 基础语法与STL
#   cpp4-kp05 | 函数与递归 | 基础语法与STL
#   cpp4-kp06 | 指针基础 | 基础语法与STL
#   cpp4-kp07 | 二维数组 | 数据结构入门
#   cpp4-kp08 | 枚举算法 | 算法基础
#   cpp4-kp09 | 模拟算法 | 算法基础
#   cpp4-kp10 | 递推 | 算法基础
#   cpp4-kp11 | 冒泡排序 | 算法基础
#   cpp4-kp12 | 选择排序 | 算法基础
#   cpp4-kp13 | 插入排序 | 算法基础
#   cpp4-kp14 | 顺序查找 | 算法基础
#   cpp4-kp15 | 二分查找 | 算法基础
#   cpp4-kp16 | 栈 stack | 数据结构入门
#   cpp4-kp17 | 队列 queue | 数据结构入门
#   cpp4-kp18 | 进制与位运算进阶 | 基础语法与STL
#   cpp4-kp19 | 排序综合应用 | 综合应用
#   cpp4-kp20 | 分治入门 | 综合应用
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-gesp-cpp-202512-l4	20	21	判断题	考虑用如下递推方式计算斐波那契数列，时间复杂度是O(n)。 int n = 10； int f[20]; f[0]=0; f[1]=1; for (int i = 2； i <= n; i++) f[i]=f[i-1]+f[i-2];	对	错			对
lele-gesp-cpp-202512-l4	21	22	判断题	冒泡排序和插入排序都是稳定排序算法。	对	错			对
lele-gesp-cpp-202512-l4	22	23	判断题	下面这段代码实现了选择排序算法。 void sort(int a[], int n) { for (int i= 1； i< n; i++){ int x = a[i]; int j= i - 1； while (j >= 0 && a[j] > x){ a[j+1]= a[j]; j--; } a[j+1]= x; } }	对	错			错
lele-gesp-cpp-202512-l4	23	24	判断题	下面代码可以正常编译并输出10。 #include <iostream> using namespace std; int calculate(int x, int y =10)； int main() { cout << calculate(5);//调用1 return 0； } int calculate(int x, int y){ return x* y; } int calculate(int x){//重载函数 return x* 2； }	对	错			错
lele-gesp-cpp-202512-l4	24	25	判断题	执行下面代码会输出100。 int main() { ofstream fout("data.txt"); fout << 10 << " "<< 20 << endl; fout << 30 << " "<< 40； fout.close(); ifstream fin("data.txt"); int a, b, c, d; fin >> a >> b >> c >> d; fin.close(); cout << a + b + c + d; return 0； }	对	错			对
lele-838	0	1	单选题	运行下面程序后变量 a 的值是（ ）。	A：42	B：43	C：编译错误	D：不确定	B
lele-838	4	5	单选题	下面这段代码会输出（ ）。	A：5 5	B：10 10	C：5 10	D：10 5	D
lele-838	5	6	单选题	下面程序运行的结果是（ ）	A：6 7	B：6 6	C：5 6	D：5 5	C
lele-838	7	8	单选题	运行如下代码会输出（ ）	A：Mimi 2	B：Mimi 3	C：kitty 3	D：kitty 2	B
lele-838	14	15	单选题	关于异常处理，以下说法错误的是（ ）	A：try 块中的代码可能会抛出异常	B：catch 块可以有多个，处理不同类型的异常	C：throw 语句用于抛出异常	D：所有异常都必须被捕获，否则程序会崩溃	D
