# GESP C++ L1 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp1-kp01 | 计算机基础知识 | 计算机基础
#   cpp1-kp02 | 程序与流程图 | 计算机基础
#   cpp1-kp03 | 变量与数据类型 | 基础语法
#   cpp1-kp04 | 常量与标识符命名 | 基础语法
#   cpp1-kp05 | 标准输入输出 | 基础语法
#   cpp1-kp06 | 算术与赋值运算 | 运算与表达式
#   cpp1-kp07 | 关系与逻辑运算 | 运算与表达式
#   cpp1-kp08 | 顺序结构 | 顺序结构
#   cpp1-kp09 | if 分支结构 | 分支结构
#   cpp1-kp10 | switch 分支结构 | 分支结构
#   cpp1-kp11 | for 循环 | 循环结构
#   cpp1-kp12 | while 循环 | 循环结构
#   cpp1-kp13 | 循环控制 | 循环结构
#   cpp1-kp14 | 嵌套循环 | 循环结构
#   cpp1-kp15 | 一维数组入门 | 数组与字符串
#   cpp1-kp16 | string 字符串基础 | 数组与字符串
#   cpp1-kp17 | 进制初步 | 进制与运算
#   cpp1-kp18 | 简单数学应用 | 进制与运算
#   cpp1-kp19 | 综合：顺序与分支 | 综合应用
#   cpp1-kp20 | 综合：循环与数组 | 综合应用
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-783	15	1	判断题	人们现在参加很多闭卷考试时通常都不允许带智能手机、平板电脑等，此外很多种智能手表同样因为具有嵌入操作系统及通信等功能，所以也不允许随身携带。（ ）	A：对	B：错			A
lele-783	16	2	判断题	如果N是C++的整型变量，值为5，则表达式 (N + !N) 的值为4。 ( )	A：对	B：错			B
lele-783	17	3	判断题	在下面C++代码中，删除break语句对程序执行结果没有影响。 ( )int i;for (i = 0; i < 10; i++){continue;cout << i << "#";break;}if (i >= 10)cout << "END";	A：对	B：错			A
lele-783	18	4	判断题	删除下面C++代码中的continue后其输出是0#2#4#6#8#。（ ）int i;for (i = 0; i < 10; i++){if (i % 2 == 0){cout << i << "#";continue;}}if (i >= 10)cout << "END";	A：对	B：错			B
lele-783	19	5	判断题	将下面C++代码中的 i < 100; i = i + 1 修改为 i < 200; i += i + 1 ，其输出与当前代码输出相同。（）int cnt = 0;for (int i = 0; i < 100; i = i + 1)cnt += 1;cout << cnt;	A：对	B：错			B
lele-783	20	6	判断题	交换下面C++代码中的 i += 2 和 cnt += 1 ，交换前后分别运行的两次输出相同。（ ）int i, cnt = 0;cnt = 0;while (i < 10){i += 2;cnt += 1;}cout << cnt;	A：对	B：错			B
lele-783	21	7	判断题	下面的C++代码执行后将输出45。（ ）int cnt;for (int i = 0; i < 10; i++)cnt += 1;cout << cnt;	A：对	B：错			B
lele-783	22	8	判断题	执行C++代码 cout << (12 + 12.12) 将报错，因为12是int类型，而12.12是float类型，不同类型不能直接运算。（ ）	A：对	B：错			B
lele-783	23	9	判断题	在C++代码中，不可以将变量命名为false，因为false是C++语言的关键字。（ ）	A：对	B：错			A
lele-783	24	10	判断题	X是C++的整型变量，则表达式 3 < X < 5 求值结果是4。( )	A：对	B：错			B
lele-678	0	1	单选题	2025年春节有两件轰动全球的事件，一个是DeepSeek横空出世，另一个是贺岁片《哪吒2》票房惊人，入了全球票房榜。下面关于DeepSeek与《哪吒2》的描述成立的是( )	A：《哪吒2》是一款新型操作系统	B：DeepSeek是深海钻探软件	C：《哪吒2》可以生成新的软件	D：DeepSeek可以根据《哪吒2》的场景生成剧情脚本	D
lele-678	1	2	单选题	在某集成开发环境中编辑一个源代码文件时不可以执行下面（ ）操作	A：修改变量定义	B：保存代码修改	C：撤销代码修改	D：插入执行截图	D
lele-678	2	3	单选题	在C++中，下列可以做变量的是( )	A：Var-1	B：$1	C：%%1	D：_Var_1	D
lele-678	3	4	单选题	以下哪个是C++语言的关键字？（ ）	A：abs	B：cin	C：do	D：endl	C
lele-678	4	5	单选题	下面的框架在L1和L2标记的两行处分别填写选项中的代码，哪组不能通过编译（ ）	A：	B：	C：	D：	C
lele-678	5	6	单选题	下面C++语句（ ）执行后的输出是 __ 0322$$	A：printf("__ %2d%02d$$", 3, 22)	B：printf("__ %02d%2d$$", 3, 22)	C：printf("__ %02d%02d$$$$", 3, 22)	D：printf("____ %02d%02d$$$$", 3, 22)	B
