# GESP C++ L8 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp8-kp01 | 主席树(可持久化线段树) | 高级数据结构
#   cpp8-kp02 | 分块 | 高级数据结构
#   cpp8-kp03 | 莫队算法 | 高级数据结构
#   cpp8-kp04 | 最大流(Dinic/Edmonds-Karp) | 图论与网络流
#   cpp8-kp05 | 最小费用最大流 | 图论与网络流
#   cpp8-kp06 | 二分图匹配(匈牙利/KM) | 图论与网络流
#   cpp8-kp07 | 图的连通性与割点桥(Tarjan) | 图论与网络流
#   cpp8-kp08 | 强连通分量与缩点(Tarjan) | 图论与网络流
#   cpp8-kp09 | 2-SAT | 图论与网络流
#   cpp8-kp10 | 单调队列优化 DP | 动态规划
#   cpp8-kp11 | 斜率优化 DP | 动态规划
#   cpp8-kp12 | 数位 DP | 动态规划
#   cpp8-kp13 | 树形 DP | 动态规划
#   cpp8-kp14 | 状态压缩 DP | 动态规划
#   cpp8-kp15 | 逆元与同余(扩欧/费马) | 数学与数论
#   cpp8-kp16 | 中国剩余定理(CRT) | 数学与数论
#   cpp8-kp17 | 欧拉函数与欧拉定理 | 数学与数论
#   cpp8-kp18 | 容斥原理与组合计数 | 数学与数论
#   cpp8-kp19 | Lucas 定理与组合数取模 | 数学与数论
#   cpp8-kp20 | 向量叉积与基本几何 | 计算几何
#   cpp8-kp21 | 凸包(Graham/Andrew) | 计算几何
#   cpp8-kp22 | 后缀数组/后缀自动机 | 字符串与高级算法
#   cpp8-kp23 | AC 自动机 | 字符串与高级算法
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-501	10	11	单选题	下面程序的时间复杂度为（ ）。int choose(int n, int m) { if (m == 0 || m == n) return 1; return choose(n - 1, m - 1) + choose(n - 1, m); }	A：O(2n)	B：O(2m×(n-m))	C：O(C(n,m))	D：O(m×(n-m))	C
lele-501	11	12	单选题	下面程序的时间复杂度为（ ）。int primes[MAXP], num = 0; bool isPrime[MAXN] = {false}; void sieve() { for (int n = 2; n <= MAXN; n++) { if (!isPrime[n]) primes[num++] = n; for (int i = 0; i < num && n * primes[i] <= MAXN; i++) { isPrime[n * primes[i]] = true; if (n % primes[i] == 0) break; } } }	A：O(n)	B：O(n×logn)	C：O(n×loglogn)	D：O(n2)	A
lele-501	12	13	单选题	下面程序的输出为（ ）。#include <iostream> using namespace std; int a[10][10]; int main() { int m = 5, n = 4; for (int x = 0; x <= m; x++) a[x][0] = 1; for (int y = 1; y <= n; y++) a[0][y] = 1; for (int x = 1; x <= m; x++) for (int y = 1; y <= n; y++) a[x][y] = a[x - 1][y] + a[x][y - 1]; cout << a[m][n] << endl; return 0; }	A：4	B：5	C：126	D：3024	C
lele-501	13	14	单选题	下面程序的输出为（ ）。#include <iostream> using namespace std; int main() { int cnt = 0; for (int x = 0; x <= 10; x++) for (int y = 0; y <= 10; y++) for (int z = 0; z <= 10; z++) if (x + y + z == 15) cnt++; cout << cnt << endl; return 0; }	A：90	B：91	C：96	D：100	B
lele-501	14	15	单选题	下面的程序使用邻接矩阵表达的带权无向图，则从顶点0到顶点3的最短距离为（ ）。int weight[4][4] = { { 0, 1, 7, 100}, { 1, 0, 5, 15}, { 7, 5, 0, 6}, {100, 15, 6, 0}}	A：100	B：16	C：12	D：13	C
lele-501	15	1	判断题	已知 int 类型的变量 a 和 b ，则执行语句 a, b = b, a; 后，变量 a 和 b 的值会互换。（ ）	A：正确	B：错误			B
lele-501	16	2	判断题	一个袋子中有3个完全相同的红色小球、2个完全相同的蓝色小球。每次从中取出1个，再放回袋子，这样进行3次后，可能的颜色顺序有7种。（ ）	A：正确	B：错误			B
lele-501	17	3	判断题	孙子定理是求解一次同余方程组的方法，最早见于中国南北朝时期（公元5世纪）的数学著作《孙子算经》。又称中国余数定理，是中国数学史上的一项伟大成就。（ ）	A：正确	B：错误			A
lele-501	18	4	判断题	N个顶点的无向完全图有N×(N-1)条边。（ ）	A：正确	B：错误			B
lele-501	19	5	判断题	为解决哈希函数冲突，在哈希表项内设置链表存储该项内的所有冲突元素，则该哈希表内查找元素的最差时间复杂度为O(1)。（ ）	A：正确	B：错误			B
lele-501	20	6	判断题	求一个包含 v 个顶点、 e 条边的带权连通无向图的最小生成树，Prim算法的时间复杂度为O(v×e)。（ ）	A：正确	B：错误			B
lele-501	21	7	判断题	已知 int 类型的变量 a 、 b 和 c 中分别存储着一个三角形的三条边长，则这个三角形的面积可以通过表达式 sqrt((a + b + c) * (b + c - a) * (a + c - b) * (a + b - c)) / 4 求得。（ ）	A：正确	B：错误			A
lele-501	22	8	判断题	可以使用深度优先搜索算法判断图的连通性。（ ）	A：正确	B：错误			A
lele-501	23	9	判断题	在N个元素的二叉排序树中查找一个元素，平均情况的时间复杂度是O(logN)。（ ）	A：正确	B：错误			A
lele-501	24	10	判断题	给定 double 类型的变量 x ，且其值大于等于 ，我们可以通过二分法求出logx的近似值。（ ）	A：正确	B：错误			A
lele-421	0	1	单选题	小杨要从A城到B城，又想顺路游览一番。他有两个选项：1、坐高铁路到C城游览，再坐高铁或飞机到B城；2、坐船到D城游览，再坐船、高铁或飞机到B城。请问小杨从A城到B城共有几种交通方案可以选择？（ ）。	A：2	B：3	C：5	D：6	C
lele-421	1	2	单选题	以下哪个函数声明是符合语法的，且在调用时可以将二维数组的名字作为实际参数传递给形式参数 a ？（ ）。	A：void QuickSort(int a[][10], int n);	B：void QuickSort(int a[5][], int m);	C：void QuickSort(int a[][], int n, int m);	D：void QuickSort(int ** a, int n, int m);	A
lele-421	2	3	单选题	下面有关C++类和对象的说法，错误的是（ ）。	A：对象的生命周期开始时，会执行构造函数。	B：对象的生命周期结束时，会执行析构函数。	C：类的析构函数可以为虚函数。	D：类的构造函数可以为虚函数。	D
lele-421	3	4	单选题	使用邻接矩阵表达 n 个顶点的有向图，则该矩阵的大小为（ ）。	A：n×(n+1)	B：n×n	C：n×(n-1)	D：n×(n-1)/2	B
lele-421	4	5	单选题	5 位同学排队，其中一位同学不能排在第一，则共有多少种可能的排队方式？（ ）。	A：5	B：24	C：96	D：120	C
lele-421	5	6	单选题	一个无向图包含 n 个顶点，则其最小生成树包含多少条边？（ ）。	A：n-1	B：n	C：n+1	D：最小生成树可能不存在。	D
lele-421	6	7	单选题	已知三个 double 类型的变量 a 、 b 和 theta 分别表示一个三角形的两条边长及二者的夹角（弧度），则下列哪个表达式可以计算这个三角形的面积？（ ）。	A：a * b * sin(theta) / 2	B：(a + b) * sin(theta) / 2	C：a * b * cos(theta) / 2	D：sqrt(a * a + b * b - 2 * a * b * cos(theta))	A
lele-421	7	8	单选题	对有 n 个元素的二叉排序树进行中序遍历，其时间复杂度是（ ）。	A：O(1)	B：O(log(n))	C：O(n)	D：O(n2)	C
lele-421	8	9	单选题	假设输入参数 m 和 n 满足m≤n，则下面程序的最差情况的时间复杂度为（ ）。	A：O(log(n))	B：O(n)	C：O(n×m)	D：O(m×log(n))	A
lele-421	9	10	单选题	下面程序的时间复杂度为（ ）。	A：O(n)	B：O(an)	C：O(log(n))	D：O(log(n)×a)	C
lele-421	10	11	单选题	下面程序的时间复杂度为（ ）。	A：O(2n)	B：O(2m×(n-m))	C：O(C(n,m))	D：O(m×(n-m))	D
lele-421	11	12	单选题	下面的程序使用出边的邻接表表达有向图，则下列选项中哪个是它表达的图？（ ）。	A：	B：	C：	D：	B
lele-421	12	13	单选题	下面程序的输出为（ ）。	A：12	B：18	C：36	D：42	B
lele-421	13	14	单选题	下面程序的输出为（ ）。	A：3	B：6	C：11	D：22	A
