# GESP C++ L5 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp5-kp01 | 链表(单/双向) | 数据结构
#   cpp5-kp02 | 树与二叉树基础 | 数据结构
#   cpp5-kp03 | 二叉树遍历 | 数据结构
#   cpp5-kp04 | 堆/优先队列 | 数据结构
#   cpp5-kp05 | 图基本概念 | 图论
#   cpp5-kp06 | DFS 深度优先搜索 | 图论
#   cpp5-kp07 | BFS 广度优先搜索 | 图论
#   cpp5-kp08 | 动态规划(线性) | 算法
#   cpp5-kp09 | 动态规划(背包) | 算法
#   cpp5-kp10 | 贪心算法 | 算法
#   cpp5-kp11 | 高精度运算 | 算法
#   cpp5-kp12 | 分治 | 算法
#   cpp5-kp13 | 散列表(hash/map) | 数据结构
#   cpp5-kp14 | set/multiset | 数据结构
#   cpp5-kp15 | 递归进阶 | 算法
#   cpp5-kp16 | 表达式求值(栈应用) | 数据结构
#   cpp5-kp17 | 并查集 | 数据结构
#   cpp5-kp18 | 拓扑排序 | 图论
#   cpp5-kp19 | 最短路(Dijkstra/Floyd) | 图论
#   cpp5-kp20 | 字符串进阶(KMP) | 算法
#   cpp5-kp21 | 复杂度分析 | 综合应用
#   cpp5-kp22 | 综合应用 | 综合应用
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-gesp-cpp-202512-l5	20	21	判断题	通过在数组的第一个、最中间和最后一个这3个数据中选择中间值作为枢轴（比较基准），快速排序算法可降低落入最坏情况的概率。	对	错			对
lele-gesp-cpp-202512-l5	21	22	判断题	贪心算法在每一步都做出当前看来最优的局部选择，并且一旦做出选择就不再回溯；而分治算法将问题分解为若干子问题分别求解，再将子问题的解合并得到原问题的解。	对	错			对
lele-gesp-cpp-202512-l5	22	23	判断题	以下fib函数计算第n项斐波那契数(fib(0)=0,fib(1)=1),其时间复杂度为O(n)。 ```cpp int fib(int n){ if (n <= 1) return n; return fib(n-1) + fib(n-2); } ```	对	错			错
lele-gesp-cpp-202512-l5	23	24	判断题	递归函数一定要有终止条件，否则可能会造成栈溢出。	对	错			对
lele-gesp-cpp-202512-l5	24	25	判断题	使用贪心算法解决问题时，通过对每一步求局部最优解，最终一定能找到全局最优解。	对	错			错
lele-gesp-cpp-202509-l5	0	1	单选题	以下哪种情况使用链表比数组更合适？	A：数据量固定且读多写少	B：需要频繁在中间或开头插入、删除元素	C：需要高效随机访问元素	D：存储空间必须连续	B
lele-gesp-cpp-202509-l5	1	2	单选题	函数removeElements 删除单链表中所有结点值等于val的结点，并返回新的头结点，其中链表头结点为head,则横线处填写()。 ```cpp struct Node { int val; Node* next; Node(): val(0),next(nullptr){} Node(int x): val(x), next(nullptr){} Node(int x, Node *next): val(x), next(next) {} }; Node* removeElements(Node* head, int val){ Node dummy(0,head); Node* cur = &dummy; while(cur->next){ if (cur->next->val == val) { //在此填入代码 } else { cur = cur->next; } } return dummy.next; } ```	A：Node* del = cur; cur = del->next; delete del;	B：Node* del = cur->next; cur->next = del; delete del;	C：Node* del = cur->next; cur->next = del->next; delete del;	D：Node* del = cur->next; delete del; cur->next = del->next;	C
lele-gesp-cpp-202509-l5	2	3	单选题	函数 hasCycle 采用Floyd快慢指针法判断一个单链表中是否存在环，链表的头节点为head,即用两个指针在链表上前进：slow每次走1步，fast每次走2步，若存在环，fast终会追上slow(相遇)；若无环，fast 会先到达nullptr,则横线上应填写()。 ```cpp struct Node { int val; Node *next; Node(int x): val(x), next(nullptr){} }; bool hasCycle(Node *head){ if (!head || !head->next) return false; Node* slow = head; Node* fast = head->next; while (fast && fast->next){ if (slow == fast) return true; //在此填入代码 } return false; } ```	A：slow = slow->next; fast = fast->next->next;	B：slow = fast->next; fast = slow->next->next;	C：slow = slow->next; fast = slow->next->next;	D：slow = fast->next; fast = fast->next->next;	A
lele-gesp-cpp-202509-l5	3	4	单选题	函数isPerfectNumber判断一个正整数是否为完全数（该数是否即等于它的真因子之和），则横线上应填写()。一个正整数n的真因子包括所有小于n的正因子，如28的真因子为1,2,4,7,14。 ```cpp bool isPerfectNumber(int n){ if(n <= 1) return false; int sum = 1; for(int i= 2; ______; i++){ if(n % i == 0){ sum += i; if(i != n/i) sum += n/i; } } return sum == n; } ```	A：i <= n	B：i * i <= n	C：i <= n/2	D：i < n	B
lele-gesp-cpp-202509-l5	4	5	单选题	以下代码计算两个正整数的最大公约数(GCD),横线上应填写()。 ```cpp int gcd(int a, int b) { if(a < b){ swap(a,b); } while(b != 0){ int temp = a % b; a = b; b = temp; } return ______ } ```	A：b	B：a	C：temp	D：a * b	B
lele-gesp-cpp-202509-l5	5	6	单选题	函数 sieve实现埃拉托斯特尼筛法（埃氏筛），横线处应填入()。 ```cpp vector<bool> sieve(int n){ vector<bool> is_prime(n+1, true); is_prime[0] = is_prime[1] = false; for(int i= 2; i <= n; i++){ if(is_prime[i]){ for(int j= ____; j <= n; j+= i){ is_prime[j] = false; } } } return is_prime; } ```	A：i	B：i+1	C：i*2	D：i*i	D
lele-gesp-cpp-202509-l5	6	7	单选题	函数 linearSieve实现线性筛法（欧拉筛），横线处应填入()。 ```cpp vector<int> linearSieve(int n){ vector<bool> is_prime(n+1,true); vector<int> primes; for(int i= 2; i <= n; i++) { if(is_prime[i]) primes.push_back(i); for(int p : primes) { if(p * i > n) break; is_prime[p * i] = false; if(________) break; } } return primes; } ```	A：i % p == 0	B：p % i == 0	C：i == p	D：i * p == n	A
lele-gesp-cpp-202509-l5	7	8	单选题	关于埃氏筛和线性筛的比较，下列说法错误的是()。	A：埃氏筛可能会对同一个合数进行多次标记	B：线性筛的理论时间复杂度更优，所以线性筛的速度往往优于埃氏筛	C：线性筛保证每个合数只被其最小质因子筛到一次	D：对于常见范围(n≤10^7)，埃氏筛因实现简单，常数较小，其速度往往优于线性筛	B
lele-gesp-cpp-202509-l5	8	9	单选题	唯一分解定理描述的是()。	A：每个整数都能表示为任意素数的乘积	B：每个大于1的整数能唯一分解为素数幂乘积（忽略顺序）	C：合数不能分解为素数乘积	D：素数只有两个因子：1和自身	B
lele-gesp-cpp-202509-l5	9	10	单选题	给定一个 n× n的矩阵 matrix,矩阵的每一行和每一列都按升序排列。函数countLE返回矩阵中第k小的元素，则两处横线上应分别填写()。 ```cpp int countLE(const vector<vector<int>>& matrix, int x) { int n = (int)matrix.size(); int i=n-1, j=0, cnt=0; while(i>=0 && j< n){ if (matrix[i][j] <= x){ cnt += i+1; ++j; } else { --i; } } return cnt; } int kthSmallest(vector<vector<int>>& matrix, int k){ int n= (int)matrix.size(); int lo = matrix[0][0]; int hi = matrix[n-1][n-1]; while (lo < hi){ int mid = lo + (hi - lo) / 2; if (countLE(matrix, mid) >= k) { //在此处填入代码 } else { //在此处填入代码 } } return lo; } ```	A：hi = mid - 1; lo = mid + 1;	B：hi = mid; lo = mid;	C：hi = mid; lo = mid + 1;	D：hi = mid + 1; lo = mid;	C
lele-gesp-cpp-202509-l5	10	11	单选题	下述C++代码实现了快速排序算法，下面说法错误的是()。 ```cpp int partition(vector<int>& arr, int low, int high) { int i= low, j = high; int pivot = arr[low]; while (i < j){ while (i < j && arr[j] >= pivot) j--; while (i < j && arr[i] <= pivot) i++; if (i < j) swap(arr[i], arr[j]); } swap(arr[i],arr[low]); return i; } void quickSort(vector<int>& arr, int low, int high) { if (low >= high) return; int p = partition(arr, low, high); quickSort(arr,low,p-1); quickSort(arr,p+1, high); } ```	A：快速排序之所以叫“快速”，是因为它在平均情况下运行速度较快，常数小、就地排序，实践中通常比归并排序更高效。	B：在平均情况下，划分的递归层数为logn,每层中的总循环数为n ，总时间为O(nlogn)。	C：在最差情况下，每轮划分操作都将长度为n的数组划分为长度为0和n-1的两个子数组，此时递归层数达到n ，每层中的循环数为n,总时间为O(n^2)。	D：划分函数 partition 中“从右往左查找”与“从左往右查找”的顺序可以交换。	D
lele-gesp-cpp-202509-l5	11	12	单选题	下述C++代码实现了归并排序算法，则横线上应填写()。 ```cpp void merge(vector<int> &nums, int left, int mid, int right) { vector<int> tmp(right - left + 1); int i= left, j= mid+1, k=0; while (i <= mid && j <= right) { if (nums[i] <= nums[j]) tmp[k++] = nums[i++]; else tmp[k++] = nums[j++]; } while (i <= mid){ tmp[k++] = nums[i++]; } while(____){ tmp[k++] = nums[j++]; } for (k = 0; k < tmp.size(); k++){ nums[left + k] = tmp[k]; } } void mergeSort(vector<int> &nums, int left, int right) { if (left >= right) return; int mid = (left + right) / 2; mergeSort(nums, left, mid); mergeSort(nums, mid + 1, right); merge(nums, lef...	A：i < mid	B：j < right	C：i <= mid	D：j <= right	D
lele-gesp-cpp-202509-l5	12	13	单选题	假设你是一家电影院的排片经理，只有一个放映厅。你有一个电影列表 movies,其中 movies[i]=[start_i,end_i]表示第i部电影的开始和结束时间。请你找出最多能安排多少部不重叠的电影，则横线上应分别填写的代码为()。 ```cpp int maxMovies(vector<vector<int>>& movies){ if (movies.empty()) return 0; sort(movies.begin(), movies.end(), [](const vector<int>& a, const vector<int>& b){ return ___; }); int count = 1; int lastEnd = movies[0][1]; for (int i= 1; i < movies.size(); i++){ if (movies[i][0] >= lastEnd){ count++; ___ = movies[i][1]; } } return count; } ```	A：a[0] < b[0] 和 lastEnd	B：a[1] < b[1] 和 lastEnd	C：a[0] < b[0] 和 movies[i][0]	D：a[1] < b[1] 和 movies[i][0]	B
lele-gesp-cpp-202509-l5	13	14	单选题	给定一个整数数组nums,下面代码找到一个具有最大和的连续子数组，并返回该最大和。则下面说法错误的是()。 ```cpp int crossSum(vector<int>& nums, int left, int mid, int right) { int leftSum = INT_MIN, rightSum = INT_MIN; int sum = 0; for (int i = mid; i >= left; i--) { sum += nums[i]; leftSum = max(leftSum, sum); } sum = 0; for (int i = mid + 1; i <= right; i++){ sum += nums[i]; rightSum = max(rightSum, sum); } return leftSum + rightSum; } int helper(vector<int>& nums, int left, int right) { if (left == right) return nums[left]; int mid = left + (right - left) / 2; int leftMax = helper(nums, left, mid); int rightMax = helper(nums, mid +1, right)...	A：上述代码采用分治算法实现	B：上述代码采用贪心算法	C：上述代码时间复杂度为O(n log n)	D：上述代码采用递归方式实现	B
lele-gesp-cpp-202509-l5	14	15	单选题	给定一个由非负整数组成的数组digits,表示一个非负整数的各位数字，其中最高位在数组首位，且digits不含前导0（除非是0本身）。下面代码对该整数执行+1操作，并返回结果数组，则横线上应填写()。 ```cpp vector<int> plusOne(vector<int>& digits){ for (int i= (int)digits.size() - 1; i >= 0; --i){ if (digits[i] < 9){ digits[i] += 1; return digits; } //在此处填入代码 } digits.insert(digits.begin(),1); return digits; } ```	A：digits[i] = 0;	B：digits[i] = 9;	C：digits[i] = 1;	D：digits[i] = 10;	A
lele-gesp-cpp-202509-l5	15	16	判断题	基于下面定义的函数，通过判断isDivisibleBy9(n)==isDigitSumDivisibleBy9(n)代码可验算如果一个数能被9整除，则它的各位数字之和能被9整除。 ```cpp bool isDivisibleBy9(int n){ return n % 9 == 0; } bool isDigitSumDivisibleBy9(int n){ int sum = 0; string numStr = to_string(n); for (char c : numStr) { sum += (c - '0'); } return sum % 9 == 0; } ```	对	错			对
lele-gesp-cpp-202509-l5	16	17	判断题	假设函数gcd()能正确求两个正整数的最大公约数，则下面的findMusicalPattern(4,6)函数返回2。 ```cpp void findMusicalPattern(int rhythm1, int rhythm2){ int commonDivisor = gcd(rhythm1, rhythm2); int patternLength = (rhythm1 * rhythm2) / commonDivisor; return patternLength; } ```	对	错			错
lele-gesp-cpp-202509-l5	17	18	判断题	下面递归实现的斐波那契数列的时间复杂度为O(2^n)。 ```cpp long long fib_memo(int n, long long memo[]) { if (n <= 1) return n; if (memo[n] != -1) return memo[n]; memo[n] = fib_memo(n - 1, memo) + fib_memo(n - 2, memo); return memo[n]; } int main() { int n = 40; long long memo[100]; fill_n(memo,100,-1); long long result2 = fib_memo(n, memo); return 0; } ```	对	错			错
lele-gesp-cpp-202509-l5	18	19	判断题	链表通过更改指针实现高效的结点插入与删除，但结点访问效率低、占用内存较多，且对缓存利用不友好。	对	错			对
lele-gesp-cpp-202509-l5	19	20	判断题	二分查找依赖数据的有序性，通过循环逐步缩减一半搜索区间来进行查找，且仅适用于数组或基于数组实现的数据结构。	对	错			对
lele-gesp-cpp-202509-l5	20	21	判断题	线性筛关键是“每个合数只会被最小质因子筛到一次”，因此为O(n)。	对	错			对
lele-gesp-cpp-202509-l5	21	22	判断题	快速排序和归并排序都是稳定的排序算法。	对	错			错
lele-gesp-cpp-202509-l5	22	23	判断题	下面代码采用分治算法求解标准3柱汉诺塔问题，时间复杂度为O(n log n)。 ```cpp void move(vector<int> &src, vector<int> &tar){ int pan = src.back(); src.pop_back(); tar.push_back(pan); } void dfs(int n, vector<int> &src, vector<int> &buf, vector<int> &tar) { if (n == 1){ move(src,tar); return; } dfs(n - 1, src, tar, buf); move(src,tar); dfs(n - 1, buf, src, tar); } void solveHanota(vector<int> &A, vector<int> &B, vector<int> &C) { int n = A.size(); dfs(n, A, B, C); } ```	对	错			错
lele-gesp-cpp-202509-l5	23	24	判断题	所有递归算法都可以转换为迭代算法。	对	错			对
lele-gesp-cpp-202509-l5	24	25	判断题	贪心算法总能得到全局最优解。	对	错			错
lele-787	4	5	单选题	下列C++代码判断一个正整数是否是质数，说法正确的是( )。	A：代码存在错误，比如5是质数，但因为 5 % 5 余数是0返回了 false	B：finish_number 的值应该是 n / 2 ，当前写法将导致错误	C：当前 while 循环正确的前提是：所有大于3的质数都符合 6k±1 形式	D：	D
lele-787	5	6	单选题	下列C++代码用两种方式求解两个正整数的最大公约数，说法错误的是( )。	A：gcd0() 函数的时间复杂度为	B：gcd1() 函数的时间复杂度为	C：一般说来， gcd0() 的效率高于 gcd1()	D：gcd1() 中的代码 for (int i = small; i >= 1; --i) 应该修改为for (int i = small; i > 1; --i)	D
