# GESP C++ L1 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp1-kp01 | 计算机基础知识 | 计算机基础
#   cpp1-kp02 | 程序与流程图 | 计算机基础
#   cpp1-kp03 | 变量与数据类型 | 基础语法
#   cpp1-kp04 | 常量与标识符命名 | 基础语法
#   cpp1-kp05 | 标准输入输出 | 基础语法
#   cpp1-kp06 | 算术与赋值运算 | 运算与表达式
#   cpp1-kp07 | 关系与逻辑运算 | 运算与表达式
#   cpp1-kp08 | 顺序结构 | 顺序结构
#   cpp1-kp09 | if 分支结构 | 分支结构
#   cpp1-kp10 | switch 分支结构 | 分支结构
#   cpp1-kp11 | for 循环 | 循环结构
#   cpp1-kp12 | while 循环 | 循环结构
#   cpp1-kp13 | 循环控制 | 循环结构
#   cpp1-kp14 | 嵌套循环 | 循环结构
#   cpp1-kp15 | 一维数组入门 | 数组与字符串
#   cpp1-kp16 | string 字符串基础 | 数组与字符串
#   cpp1-kp17 | 进制初步 | 进制与运算
#   cpp1-kp18 | 简单数学应用 | 进制与运算
#   cpp1-kp19 | 综合：顺序与分支 | 综合应用
#   cpp1-kp20 | 综合：循环与数组 | 综合应用
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-580	10	11	单选题	下面的C++代码用于求1~N之间所有奇数之和，其中N为正整数，如果N为奇数，则求和时包括N。有关描述错误的是（ ）。	A：执行代码时如果输入10，则最后一行输出将是 11 25	B：执行代码时如果输入5，则最后一行输出将是 6 9	C：将 i += 1 移到 if (i % 2 == 1) 前一行，同样能实现题目要求	D：删除 if (i % 2 == 1) ，并将 i += 1 改为 i += 2 ，同样可以实现题目要求	C
lele-580	11	12	单选题	如果一个整数N能够表示为 X*X 的形式，那么它就是一个完全平方数，下面C++代码用于完成判断N是否为一个完全平方数，在横线处应填入的代码是（ ）。	A：i == N*N	B：i*10 == N	C：i+i == N	D：i*i == N	D
lele-580	12	13	单选题	执行下面C++代码后输出的cnt的值是（ ）。	A：8	B：7	C：4	D：1	C
lele-580	13	14	单选题	小杨父母带他到某培训机构给他报名参加CCF组织的GESP认证考试的第1级，那他可以选择的认证语言有几种？（ ）	A：1	B：2	C：3	D：4	C
lele-580	14	15	单选题	ENIAC于1946年投入运行，是世界上第一台真正意义上的计算机，它的主要部件都是（ ）组成的。	A：感应线圈	B：电子管	C：晶体管	D：集成电路	B
lele-580	15	1	判断题	在C++代码中变量 X 被赋值为16.44，则 cout << X / 10 执行后输出的一定是 1 。( )	A：对	B：错			B
lele-580	16	2	判断题	C++的整型变量 N 被赋值为10，则语句 cout << N / 4 << "->" << N % 4 << "->" << N / 4.0 执行后输出是 2->2->2.0 。 ( )	A：对	B：错			B
lele-580	17	3	判断题	定义C++的 float 型变量 N ，则语句 cin >> N; cout << int(float(N)) 可以输入正负整数和浮点数，并将其转换为整数后输出。（ ）	A：对	B：错			A
lele-580	18	4	判断题	C++的整型 N 被赋值为5，语句 printf("%d*2",N) 执行后将输出 10 。（ ）	A：对	B：错			B
lele-580	19	5	判断题	在C++中， break 语句用于终止当前层次的循环，循环可以是 for 循环，也可以是 while 循环。（ ）	A：对	B：错			A
lele-580	20	6	判断题	在C++， continue 语句通常与 if 语句配合使用。（ ）	A：对	B：错			A
lele-580	21	7	判断题	在C++代码中，不可以将变量命名为 printf ，因为 printf 是C++语言的关键字。（ ）	A：对	B：错			B
lele-580	22	8	判断题	在C++中有整型变量N，则表达式 N += 8/4//2 相当于 N += 8/(4/2) 。（ ）	A：对	B：错			B
lele-580	23	9	判断题	C++中定义变量 int N ，则表达式 (!!N) 的值也是 N 的值。 ( )	A：对	B：错			B
lele-580	24	10	判断题	GESP测试是对认证者的编程能力进行等级认证，同一级别的能力基本上与编程语言无关。（ ）	A：对	B：错			A
lele-494	0	1	单选题	C++表达式 (3 - 2) * 3 + 5 的值是( )。	A：-13	B：8	C：2	D：0	B
lele-494	1	2	单选题	C++语句 cout << "5%2=" << 5 % 2 执行后的输出是( )。	A：2 2	B：1 1	C：5%2=2	D：5%2=1	D
lele-494	2	3	单选题	执行C++语句 cin >> a 时如果输入5+2，下述说法正确的是（ ）。	A：变量a将被赋值为整数7	B：变量a将被赋值为字符串，字符串内容为5+2	C：语句执行将报错，不能输入表达式	D：依赖于变量a的类型。如果没有定义，会有编译错误	D
lele-494	3	4	单选题	下面C++代码执行后的输出是（ ）。int a = 1; cout << "a+1= " << a+1 << endl;	A：a+1= 2	B：a+1=2	C：2=2	D：2= 2	A
lele-494	4	5	单选题	下面C++代码执行后的输出是（ ）。int a = 1; printf("a+1=%d\n", a+1);	A：a+1= 2	B：a+1=2	C：2=2	D：2= 2	B
lele-494	5	6	单选题	下面C++代码执行时输入21后，有关描述正确的是（ ）。int N; cin >> N; if(N% 3 == 0) cout << "能被3整除"; else if (N % 7 == 0) cout << "能被7整除"; else cout << "不能被3和7整除"; cout << endl;	A：代码第4行被执行	B：第4和第7行代码都被执行	C：仅有代码第7行被执行	D：第8行代码将被执行，因为input()输入为字符串	A
lele-494	6	7	单选题	下面C++代码第2行，总共被执行次数是（ C ）。for(int i=-10; i<10; i++) cout << i << " ";	A：10	B：19	C：20	D：21	C
lele-494	7	8	单选题	下面C++代码执行后的输出是（ ）。int tnt = 0; for(int i=0; i<10; i++) if(i%3 && i%7) tnt +=i; cout << tnt << endl;	A：0	B：7	C：18	D：20	D
lele-494	8	9	单选题	下面C++代码执行后的输出是（ ）。int N = 10; while(N){ N -= 1; if(N%3 == 0) cout << N << "#"; }	A：9#6#3#	B：9#6#3#0#	C：8#7#5#4#2#1#	D：10#8#7#5#4#2#1#	B
lele-494	9	10	单选题	下面C++代码用于判断键盘输入的整数是否为质数。质数是只能被1和它本身整除的数。在横线处应填入代码是（ ）。int N; cin >> N; int cnt = 0; // 记录N被整除的次数 for(int i=1; i<N+1; i++) if(________________) cnt +=1; if(cnt == 2) cout << N << "是质数"; else cout << N << "不是质数";	A：N % i	B：N % i == 0	C：N / i == 0	D：N / i	B
lele-494	10	11	单选题	下面关于整型变量int x的赋值语句不正确是( )。	A：x=(3.16);	B：x=3.16;	C：x=int(3.16);	D：x=3.16 int;	D
lele-494	11	12	单选题	C++语言中下面可以完成数据输入的语句是（ ）。	A：printf语句	B：scanf语句	C：default语句	D：cout语句	B
lele-494	12	13	单选题	在Dev C++中对一个写好的C++源文件要生成一个可执行程序需要执行下面哪个处理步骤？（ ）	A：创建	B：编辑	C：编译	D：调试	C
lele-494	13	14	单选题	小杨的父母最近刚刚给他买了一块华为手表，他说手表上跑的是鸿蒙，这个鸿蒙是？（ ）	A：小程序	B：计时器	C：操作系统	D：神话人物	C
lele-494	14	15	单选题	中国计算机学会（CCF）在2024年1月27日的颁奖典礼上颁布了王选奖，王选先生的重大贡献是（ ）。	A：制造自动驾驶汽车	B：创立培训学校	C：发明汉字激光照排系统	D：成立方正公司	C
lele-494	15	1	判断题	在C++代码中变量n被赋值为27，则 cout << n%10 执行后输出的是7。( )	A：正确	B：错误			A
lele-494	16	2	判断题	C++语句 printf("%d#%d&",2,3) 执行后输出的是2#3&。 ( )	A：正确	B：错误			A
lele-494	17	3	判断题	C++函数scanf()必须含有参数，且其参数为字符串型字面量，其功能是提示输入。（ ）	A：正确	B：错误			B
lele-494	18	4	判断题	C++表达式 "10"*2 执行时将报错，因为 "10" 是字符串类型而2是整数类型，它们数据类型不同，不能在一起运算。（ ）	A：正确	B：错误			A
lele-494	19	5	判断题	在C++，break语句用于提前终止当前层次循环，适用于while循环，但不适用于for循环。（ ）	A：正确	B：错误			B
lele-494	20	6	判断题	C++语言中3.0和3的值相等，所以它们占用的存储空间也相同。（ ）	A：正确	B：错误			B
lele-494	21	7	判断题	在C++的程序中，cin是一个合法的变量名。（ ）	A：正确	B：错误			A
lele-494	22	8	判断题	小杨今年春节回奶奶家了，奶奶家的数字电视可以通过遥控器输入电视剧名称来找到想播放的电视剧，所以可以推知里面有交互式程序在运行。（ ）	A：正确	B：错误			A
lele-494	23	9	判断题	任何一个for循环都可以转化为等价的while循环（ ）。	A：正确	B：错误			A
lele-494	24	10	判断题	在C++中，while可能是死循环，而for不可能是死循环。（）	A：正确	B：错误			B
lele-414	0	1	单选题	以下C++不可以作为变量的名称的是( )。	A：CCF GESP	B：ccfGESP	C：CCFgesp	D：CCF_GESP	A
lele-414	1	2	单选题	C++表达式 10 - 3 * (2 + 1) % 10 的值是( )。	A：0	B：1	C：2	D：3	B
lele-414	2	3	单选题	假设现在是上午十点，求出N小时（正整数）后是第几天几时，如输入20小时则为第2天6点，如N输入4则为今天14点。为实现相应功能，应在横线处填写代码是( )。	A：(10 + N) % 24 , (10 + N) / 24	B：(10 + N) / 24 , (10 + N) % 24	C：N % 24 , N / 24	D：10 / 24 , 10 % 24	B
lele-414	3	4	单选题	下面的程序用于判断N是否为偶数，横线处应填写代码是（ ）。	A：N % 2 == 0	B：N % 2 = 0	C：N % 2	D：N % 2 != 0	A
