# GESP C++ L8 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp8-kp01 | 主席树(可持久化线段树) | 高级数据结构
#   cpp8-kp02 | 分块 | 高级数据结构
#   cpp8-kp03 | 莫队算法 | 高级数据结构
#   cpp8-kp04 | 最大流(Dinic/Edmonds-Karp) | 图论与网络流
#   cpp8-kp05 | 最小费用最大流 | 图论与网络流
#   cpp8-kp06 | 二分图匹配(匈牙利/KM) | 图论与网络流
#   cpp8-kp07 | 图的连通性与割点桥(Tarjan) | 图论与网络流
#   cpp8-kp08 | 强连通分量与缩点(Tarjan) | 图论与网络流
#   cpp8-kp09 | 2-SAT | 图论与网络流
#   cpp8-kp10 | 单调队列优化 DP | 动态规划
#   cpp8-kp11 | 斜率优化 DP | 动态规划
#   cpp8-kp12 | 数位 DP | 动态规划
#   cpp8-kp13 | 树形 DP | 动态规划
#   cpp8-kp14 | 状态压缩 DP | 动态规划
#   cpp8-kp15 | 逆元与同余(扩欧/费马) | 数学与数论
#   cpp8-kp16 | 中国剩余定理(CRT) | 数学与数论
#   cpp8-kp17 | 欧拉函数与欧拉定理 | 数学与数论
#   cpp8-kp18 | 容斥原理与组合计数 | 数学与数论
#   cpp8-kp19 | Lucas 定理与组合数取模 | 数学与数论
#   cpp8-kp20 | 向量叉积与基本几何 | 计算几何
#   cpp8-kp21 | 凸包(Graham/Andrew) | 计算几何
#   cpp8-kp22 | 后缀数组/后缀自动机 | 字符串与高级算法
#   cpp8-kp23 | AC 自动机 | 字符串与高级算法
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-gesp-cpp-202512-l8	20	21	判断题	使用二叉堆优化的Dijkstra最短路算法，在某些特殊情况下时间复杂度不如朴素实现的O(V^2)。	对	错			对
lele-gesp-cpp-202512-l8	21	22	判断题	n个不同元素依次入栈的出栈序列数与将n个不同元素划分成若干非空子集的方案数相等。	对	错			错
lele-gesp-cpp-202512-l8	22	23	判断题	快速排序在最坏情况下的时间复杂度为O(nlogn),可以通过随机化选择基准值(pivot)的方法完全避免退化。	对	错			错
lele-gesp-cpp-202512-l8	23	24	判断题	在C++语言中，一个类可以拥有多个构造函数，也可以拥有多个析构函数。	对	错			错
lele-gesp-cpp-202512-l8	24	25	判断题	求两个序列的最长公共子序列(LCS)时，使用滚动数组优化空间后，仍然可以还原出具体的LCS序列。	对	错			错
lele-gesp-cpp-202509-l8	0	1	单选题	小杨想点一杯奶茶外卖，但还差5元起送。于是，小杨决定点一些小料。可选的小料包括：珍珠1元、椰果2元、奶冻3元、奶盖4元。每种小料最多点1份。请问共有多少种满足起送条件的点小料方案？()。	A：16	B：10	C：9	D：7	C
lele-gesp-cpp-202509-l8	1	2	单选题	小杨和小刘是好朋友，她们在逛商场时发现新设置的大头贴自拍机，于是决定一起拍一组照片。一组照片包括4张，这4张照片没有顺序区分。拍每张照片时，可以选择有相框或无相框、两人可以分别选择有头饰或无头饰、还可以从2种位置（小杨在左，或小刘在左）中选出一种。她们不希望一组照片中出现完全相同的相框、头饰、位置的组合。请问一组照片共有多少种不同的方案？()。	A：1820	B：70	C：24	D：16	A
lele-gesp-cpp-202509-l8	2	3	单选题	下列关于C++类的说法，错误的是()。	A：派生类对象占用的内存总是不小于基类对象。	B：派生类可以不实现基类的虚函数。	C：如果一个类包含纯虚函数，则它不能包含成员变量。	D：如果一个类包含纯虚函数，则不能用它定义对象。	C
lele-gesp-cpp-202509-l8	3	4	单选题	下列关于树和图的说法，错误的是()。	A：每个连通图都存在生成树。	B：每个存在生成树的有向图，都一定是强连通的。	C：保留树的所有节点，并把树的每个节点指向其父节点，则可以将树转换为一个有向弱连通图。	D：保留树的所有节点，并把树的每个节点指向其子节点，则可以将树转换为一个有向无环图。	B
lele-gesp-cpp-202509-l8	4	5	填空题	一对夫妻生男生女的概率相同。这对夫妻希望儿女双全。请问这对夫妻生下三个孩子时，实现儿女双全的概率是多少？()。					C
lele-gesp-cpp-202509-l8	5	6	单选题	二项式(x+y)^6的展开式中x^2y^4项的系数是()。	A：720	B：120	C：20	D：15	D
lele-gesp-cpp-202509-l8	6	7	单选题	对一个包含V个顶点、E条边的图，执行广度优先搜索，其最优时间复杂度是()。	A：O(V)	B：O(V+E)	C：O(V^2)	D：O(E)	B
lele-gesp-cpp-202509-l8	7	8	单选题	以下关于贪心法和动态规划的说法中，错误的是()。	A：动态规划能解决大部分多阶段决策问题。	B：对特定的问题，贪心法不一定适用。	C：当特定的问题适用贪心法时，通常比动态规划的时间复杂度更低。	D：对很多问题，递推实现和递归实现动态规划方法的时间复杂度相当。	A
lele-gesp-cpp-202509-l8	8	9	单选题	下面程序的输出为()。 ```cpp #include <iostream> using namespace std; int main() { int N = 15, cnt = 0; for (int x = 1; x + x + x <= N; x++) for (int y = x; x + y + y <= N; y++) for (int z = y; x + y + z <= N; z++) cnt++; cout << cnt << endl; return 0; } ```	A：45	B：102	C：174	D：3375	B
lele-gesp-cpp-202509-l8	9	10	单选题	下面程序的时间复杂度为()。 ```cpp int primes[MAXP], num = 0; bool isPrime[MAXN] = {false}; void sieve() { for (int n = 2; n <= MAXN; n++) { if (!isPrime[n]) primes[num++] = n; for (int i = 0; i < num && n * primes[i] <= MAXN; i++) { isPrime[n * primes[i]] = true; if (n % primes[i] == 0) break; } } } ```	A：O(n log n)	B：O(n log log n)	C：O(n)	D：O(log n)	C
lele-gesp-cpp-202509-l8	10	11	单选题	下列Dijkstra算法，假设图graph中顶点数v、边数e，则程序的时间复杂度为()。 ```cpp typedef struct Edge { int in, out; int len; struct Edge * next; } Edge; void dijkstra(int v, Edge * graph[], int start, int * dis) { const int MAX_DIS = 0x7fffff; for (int i = 0; i < v; i++) dis[i] = MAX_DIS; dis[start] = 0; int * visited = new int[v]; for (int i = 0; i < v; i++) visited[i] = 0; visited[start] = 1; for (int t = 0; ; t++) { int min = MAX_DIS, minv = -1; for (int i = 0; i < v; i++) { if (visited[i] == 0 && min > dis[i]) { min = dis[i]; minv = i; } } if (minv < 0) break; visited[minv] = 1; for (Edge * e = graph[minv]; e != NULL;...	A：O(v^2)	B：O(v log v + e)	C：O((v+e) log v)	D：O(v+e)	A
lele-gesp-cpp-202509-l8	11	12	单选题	下面count_triple函数的时间复杂度为()。 ```cpp int gcd(int m, int n) { if (m == 0) return n; return gcd(n % m, m); } int count_triple(int n) { int cnt = 0; for (int v = 1; v * v * 4 <= n; v++) for (int u = v + 1; u * (u + v) * 2 <= n; u += 2) if (gcd(u, v) == 1) { int a = u * u - v * v; int b = u * v * 2; int c = u * u + v * v; cnt += n / (a + b + c); } return cnt; } ```	A：O(n^2)	B：O(n^2 log n)	C：O(n)	D：O(n log n)	D
lele-gesp-cpp-202509-l8	12	13	单选题	下面merge_sort函数试图实现归并排序算法，横线处应该填入的是()。 ```cpp #include <vector> using namespace std; void merge_sort(vector<int> & arr, int left, int right) { if (right - left <= 1) return; int mid = (left + right) / 2; merge_sort(________); merge_sort(________); vector<int> temp(right - left); int i = left, j = mid, k = 0; while (i < mid && j < right) if (arr[i] <= arr[j]) temp[k++] = arr[i++]; else temp[k++] = arr[j++]; while (i < mid) temp[k++] = arr[i++]; while (j < right) temp[k++] = arr[j++]; for (i = left, k = 0; i < right; ++i, ++k) arr[i] = temp[k]; } ```	A：arr, left, mid 和 arr, mid, right	B：arr, left, mid + 1 和 arr, mid + 1, right	C：arr, left, mid 和 arr, mid + 1, right	D：arr, left, mid + 1 和 arr, mid + 1, right + 1	A
lele-gesp-cpp-202509-l8	13	14	单选题	下面Prim算法程序中，横线处应该填入的是()。 ```cpp #include <iostream> #include <vector> #include <algorithm> using namespace std; int prim(vector<vector<int>> & graph, int n) { vector<int> key(n, INT_MAX); vector<int> parent(n, -1); key[0] = 0; for (int i = 0; i < n; i++) { int u = min_element(key.begin(), key.end()) - key.begin(); if (key[u] == INT_MAX) break; for (int v = 0; v < n; v++) { if (_________) { key[v] = graph[u][v]; parent[v] = u; } } } int sum = 0; for (int i = 0; i < n; i++) { if (parent[i] != -1) { cout << "Edge: " << parent[i] << " - " << i << " Weight: " << key[i] << endl; sum += key[i]; } } r...	A：graph[u][v] >= 0 && key[v] > graph[u][v]	B：graph[u][v] <= 0 && key[v] > graph[u][v]	C：graph[u][v] != 0 && key[v] > graph[u][v]	D：graph[u][v] != 0 && key[v] > graph[u][v]	D
lele-gesp-cpp-202509-l8	14	15	单选题	下面的程序使用出边邻接表表达的带权无向图，则从顶点0到顶点3的最短距离为()。 ```cpp #include <vector> using namespace std; class Edge { public: int dest; int weight; Edge(int d, int w) : dest(d), weight(w) {} }; class Graph { private: int num_vertex; vector<vector<Edge>> vve; public: Graph(int v): num_vertex(v), vve(v) {} void addEdge(int s, int d, int w) { vve[s].emplace_back(d, w); vve[d].emplace_back(s, w); } }; int main() { Graph g(4); g.addEdge(0, 1, 8); g.addEdge(0, 2, 5); g.addEdge(1, 2, 1); g.addEdge(1, 3, 3); g.addEdge(2, 3, 7); return 0; } ```	A：12	B：11	C：10	D：9	D
lele-gesp-cpp-202509-l8	15	16	判断题	C++语言中，表达式'9'^3的结果值为'999'。	对	错			错
lele-gesp-cpp-202509-l8	16	17	判断题	下列C++语言代码，能够安全地输出arr[5]的值。 ```cpp int n = 5; int arr[n] = {1, 2, 3}; std::cout << arr[5]; ```	对	错			错
lele-gesp-cpp-202509-l8	17	18	判断题	对n个元素的数组进行排序，最差情况的时间复杂度为O(n^2)。	对	错			错
lele-gesp-cpp-202509-l8	18	19	判断题	有4个红球、3个蓝球和2个绿球排成一排（相同色球视为完全相同），则不同的排列方案数为1260种。	对	错			对
lele-gesp-cpp-202509-l8	19	20	判断题	使用math.h或cmath头文件中的函数，对于int类型的变量x，表达式fabs(x)和sqrt(x*x)的结果总是近似相等的。	对	错			错
