# GESP C++ L7 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp7-kp01 | 并查集(Union-Find) | 高级数据结构
#   cpp7-kp02 | 树状数组(Fenwick Tree) | 高级数据结构
#   cpp7-kp03 | 线段树(Segment Tree) | 高级数据结构
#   cpp7-kp04 | 字典树(Trie) | 高级数据结构
#   cpp7-kp05 | 二叉搜索树与平衡树入门 | 高级数据结构
#   cpp7-kp06 | 最短路径·Dijkstra | 图论进阶
#   cpp7-kp07 | 最短路径·Floyd | 图论进阶
#   cpp7-kp08 | 最短路径·SPFA/Bellman-Ford | 图论进阶
#   cpp7-kp09 | 最小生成树(Prim/Kruskal) | 图论进阶
#   cpp7-kp10 | 拓扑排序 | 图论进阶
#   cpp7-kp11 | 强连通分量(Tarjan) | 图论进阶
#   cpp7-kp12 | 区间动态规划 | 动态规划进阶
#   cpp7-kp13 | 树形动态规划 | 动态规划进阶
#   cpp7-kp14 | 状态压缩动态规划 | 动态规划进阶
#   cpp7-kp15 | 素数判定与筛法 | 数学与数论
#   cpp7-kp16 | 最大公约数与最小公倍数 | 数学与数论
#   cpp7-kp17 | 模运算与同余基础 | 数学与数论
#   cpp7-kp18 | 快速幂与幂取模 | 数学与数论
#   cpp7-kp19 | 排列与组合基础 | 组合数学初步
#   cpp7-kp20 | 组合数计算与递推 | 组合数学初步
#   cpp7-kp21 | 二分答案与最值最优化 | 综合应用
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-684	15	1	判断题	在C++语法中，表达式 1e6 、 1000000 和 10^6 的值是相同的。	A：对	B：错			B
lele-684	16	2	判断题	快速排序一般是不稳定的。	A：对	B：错			A
lele-684	17	3	判断题	long long 类型能表达的数都能使用 double 类型精确表达。	A：对	B：错			B
lele-684	18	4	判断题	使用 math.h 或 cmath 头文件中的函数，表达式 cos(60) 的结果类型为 double 、值约为 0.5 。	A：对	B：错			B
lele-684	19	5	判断题	一颗 层的满二叉树，一定有个结点。	A：对	B：错			A
lele-684	20	6	判断题	邻接表和邻接矩阵都是图的存储形式。为了操作时间复杂度考虑，同一个图可以同时维护两种存储形式。	A：对	B：错			A
lele-684	21	7	判断题	子类对象包含父类的所有成员（包括私有成员）。从父类继承的私有成员也是子类的成员，因此子类可以直接访问。	A：对	B：错			B
lele-684	22	8	判断题	动态规划算法通常有递归实现和递推实现。但由于递归调用在运行时会由于层数过多导致程序崩溃，有些动态规划算法只能用递推实现。	A：对	B：错			A
lele-684	23	9	判断题	按照下面的规则生成一棵二叉树：以一个人为根节点，其父亲为左子节点，母亲为右子节点。对其父亲、母亲分别用同样规则生成左子树和右子树。以此类推，记录30代的直系家谱，则这是一棵满二叉树。	A：对	B：错			B
lele-684	24	10	判断题	在C++语言中，函数调用前必须有函数声明或定义。	A：对	B：错			A
lele-604	0	1	单选题	已知小写字母 b 的ASCII码为98，下列C++代码的输出结果是（ ）。	A：b	B：c	C：98	D：99	D
lele-604	1	2	单选题	已知 a 为 int 类型变量， p 为 int * 类型变量，下列赋值语句不符合语法的是（ ）。	A：+a = *p;	B：*p = +a;	C：a = *(p + a);	D：*(p + a) = a;	A
