# GESP C++ L3 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp3-kp01 | 一维数组进阶 | 数组与字符串
#   cpp3-kp02 | 二维数组/矩阵 | 数组与字符串
#   cpp3-kp03 | 字符数组与字符串基础 | 数组与字符串
#   cpp3-kp04 | string 字符串进阶 | 数组与字符串
#   cpp3-kp05 | 函数定义与调用 | 函数与递归
#   cpp3-kp06 | 函数递归 | 函数与递归
#   cpp3-kp07 | 变量作用域与生命周期 | 基础语法
#   cpp3-kp08 | 结构体 struct | 结构体入门
#   cpp3-kp09 | 指针基础 | 指针基础
#   cpp3-kp10 | 指针与数组 | 指针基础
#   cpp3-kp11 | 冒泡排序 | 排序查找
#   cpp3-kp12 | 选择排序 | 排序查找
#   cpp3-kp13 | 插入排序 | 排序查找
#   cpp3-kp14 | 排序思想与快排入门 | 排序查找
#   cpp3-kp15 | 顺序查找 | 排序查找
#   cpp3-kp16 | 二分查找 | 排序查找
#   cpp3-kp17 | 进制转换 | 进制与位运算
#   cpp3-kp18 | 位运算初步 | 进制与位运算
#   cpp3-kp19 | 枚举算法 | 枚举模拟
#   cpp3-kp20 | 模拟算法 | 枚举模拟
#   cpp3-kp21 | 综合应用 | 综合应用
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-380	5	6	单选题	一个数组定义为 double array[3]; ，则可合理访问这个数组的元素的下标最大为（ ）。	A：2	B：3	C：23	D：24	A
lele-380	6	7	单选题	以下数组定义，符合C++语言语法的是（ ）。	A：double a[];	B：double b[] = {1, 2.0, '3'};	C：double c[3.0];	D：double[] d = new double[3];	B
lele-380	7	8	单选题	下列关于进制的叙述，正确的是（ ）。	A：只有十进制和二进制能够用来表示小数，八进制和十六进制不可以。	B：常用的进制包括二进制、八进制、十进制、十六进制，其他进制在日常生活中很少使用。	C：对任意正整数，其二进制表示不会比它的十进制表示更短。	D：正整数的八进制表示中，每一位可能出现的最大数字是8。	C
lele-380	8	9	单选题	下列关于C++语言中数组的叙述，不正确的是（ ）。	A：可以定义 0 个元素的数组。	B：不能定义 -1 个元素的数组。	C：数组下标越界访问会产生编译错误。	D：程序运行时发生数组下标的越界访问，程序依然可能正常结束。	C
lele-380	9	10	单选题	如果 a 是 int 类型的变量，下列哪个表达式的值一定为 true ？（ ）	A：a + 1000 - 1000 == a	B：a * 2 / 2 == a	C：(a & 1) == 1	D：(a | 1) == a + 1	A
lele-380	10	11	单选题	如果 a 和 b 均为 int 类型的变量，下列表达式不能正确判断“ a 等于 b ”的是（ ）。	A：((a >= b) && (a <= b))	B：((a >> 1) == (b >> 1))	C：((a + b) == (a + a))	D：((a ^ b) == 0)	B
lele-380	11	12	单选题	如果 a 为 char 类型的变量，下列哪个表达式可以正确判断“a是大写字母”？（ ）	A：a - 'A' <= 26	B：'A' <= a <= 'Z'	C：'A' <= 'a' <= 'Z'	D：('A' <= a) && (a <= 'Z')	D
lele-380	12	13	单选题	在下列代码的横线处填写（ ），可以使得输出是“20 10”。	A：a = a >> 8; b = a & 0xff	B：b = a >> 8; a = a & 0xff;	C：a = b; b = a & 0xff;	D：b = a; a = b;	B
lele-380	13	14	单选题	在下列代码的横线处填写（ ），可以使得输出是“120”。	A：res += array[i];	B：res *= array[i]	C：res = array[i]	D：以上均不对。	D
lele-380	14	15	单选题	在下列代码的输出是（ ）。	A：15	B：28	C：45	D：55	B
lele-380	15	1	判断题	二进制数 101.101 在十进制下是 5.005。	A：正确	B：错误			B
lele-380	16	2	判断题	在C++语言中，位运算符也有类似“先乘除、后加减”的优先级规则。因此，使用时应注意合理使用括号。	A：正确	B：错误			A
lele-380	17	3	判断题	字符常量 '3' 的值和 int 类型常量 3 的值是相同的，只是占用的字节数不同。	A：正确	B：错误			B
lele-380	18	4	判断题	在C++语言中，长度为n的数组，访问下标为n的元素会引起编译错误。	A：正确	B：错误			B
lele-380	19	5	判断题	在C++语言中，所有 int 类型的值，经过若干次左移操作（ << ）后，它们的值总会变为 0 。	A：正确	B：错误			A
lele-380	20	6	判断题	在C++语言中，数组下标的大小决定元素在逻辑上的先后顺序，与元素在内存中位置的先后顺序无关。	A：正确	B：错误			B
lele-380	21	7	判断题	在C++语言中，定义数组时， [] 中必须指定元素个数。	A：正确	B：错误			B
lele-380	22	8	判断题	著名的哥德巴赫猜想：任一大于2的偶数都可写成两个素数之和。我们可以通过枚举法来证明它。	A：正确	B：错误			B
lele-380	23	9	判断题	在C++语言中，表达式 (0xff == 255) 的值为 true 。	A：正确	B：错误			A
lele-380	24	10	判断题	如果 a 为 int 类型的变量，且表达式 ((a & 1) == 0) 的值为 true ，则说明 a 是偶数。	A：正确	B：错误			A
